Survey date,Nest Id,State of the nest,Number of chicks
31/01/18,Numero uno,Nest building,0
31/01/18,Numero duo,Nest building,0
31/01/18,Numero top,Nest building,0
31/01/18,I1,Incubation,0
31/01/18,I2,Incubation,0
31/01/18,I3,Incubation,0
31/01/18,I11,Incubation,0
31/01/18,I12,Incubation,0
31/01/18,I13,Incubation,0
31/01/18,Isolated 1,Nest building,0
01/02/18,Numero uno,Nest building,0
01/02/18,Numero duo,Nest building,0
01/02/18,Numero top,Nest building,0
01/02/18,I1,Incubation,0
01/02/18,I2,Incubation,0
01/02/18,I3,Incubation,0
01/02/18,I11,Incubation,0
01/02/18,I12,Incubation,0
01/02/18,I13,Incubation,0
01/02/18,Isolated 1,Nest building,0
01/02/18,Numero right,Nest building,0
01/02/18,Isolated 2,Nest building,0
03/02/18,Numero uno,Incubation,0
03/02/18,Numero duo,Nest building,0
03/02/18,Numero top,Nest building,0
03/02/18,I1,Incubation,0
03/02/18,I2,Incubation,0
03/02/18,I3,Incubation,0
03/02/18,I11,Incubation,0
03/02/18,I12,Incubation,0
03/02/18,I13,Incubation,0
03/02/18,Isolated 1,Nest building,0
03/02/18,Numero right,Incubation,0
03/02/18,Isolated 2,Nest building,0
03/02/18,Numero below,Nest building,0
03/02/18,Numero far right,Nest building,0
03/02/18,Numero ridge 1,Incubation,0
03/02/18,Numero ridge 2,Nest building,0
03/02/18,Numero ridge 3,Nest building,0
04/02/18,Numero uno,Incubation,0
04/02/18,Numero duo,Incubation,0
04/02/18,Numero top,Incubation,0
04/02/18,I1,Incubation,0
04/02/18,I2,Incubation,0
04/02/18,I3,Incubation,0
04/02/18,I11,Incubation,0
04/02/18,I12,Incubation,0
04/02/18,I13,Incubation,0
04/02/18,Isolated 1,Nest building,0
04/02/18,Numero right,Incubation,0
04/02/18,Isolated 2,Nest building,0
04/02/18,Numero below,Nest building,0
04/02/18,Numero far right,Nest building,0
04/02/18,Numero ridge 1,Incubation,0
04/02/18,Numero ridge 2,Nest building,0
04/02/18,Numero ridge 3,Nest building,0
04/02/18,p1,Nest building,0
04/02/18,p2,Nest building,0
04/02/18,p3,Incubation,0
04/02/18,p4,Incubation,0
04/02/18,p5,Incubation,0
05/02/18,Numero uno,Incubation,0
05/02/18,Numero duo,Incubation,0
05/02/18,Numero top,Incubation,0
05/02/18,I1,Incubation,0
05/02/18,I2,Incubation,0
05/02/18,I3,Incubation,0
05/02/18,I11,Incubation,0
05/02/18,I12,Incubation,0
05/02/18,I13,Incubation,0
05/02/18,Isolated 1,Incubation,0
05/02/18,Numero right,Incubation,0
05/02/18,Isolated 2,Not detected,0
05/02/18,Numero below,Nest building,0
05/02/18,Numero far right,Incubation,0
05/02/18,Numero ridge 1,Incubation,0
05/02/18,Numero ridge 2,Incubation,0
05/02/18,Numero ridge 3,Nest building,0
05/02/18,p1,Nest building,0
05/02/18,p2,Nest building,0
05/02/18,p3,Incubation,0
05/02/18,p4,Incubation,0
05/02/18,p5,Incubation,0
05/02/18,Numero below duo,Nest building,0
17/02/18,Across 1,Incubation,0
17/02/18,Across 2,Incubation,0
17/02/18,I1,Incubation,0
17/02/18,I11,Incubation,0
17/02/18,I12,Incubation,0
17/02/18,I13,Incubation,0
17/02/18,I2,Incubation,0
17/02/18,I3,Incubation,0
17/02/18,I4,Incubation,0
17/02/18,I5,Incubation,0
17/02/18,I6,Incubation,0
17/02/18,Isolated 1,Incubation,0
17/02/18,Isolated 2,Not detected,0
17/02/18,Numero below,Incubation,0
17/02/18,Numero below below,Incubation,0
17/02/18,Numero below duo,Incubation,0
17/02/18,Numero duo,Incubation,0
17/02/18,Numero far right,Incubation,0
17/02/18,Numero ridge 1,Incubation,0
17/02/18,Numero ridge 2,Incubation,0
17/02/18,Numero ridge 3,Incubation,0
17/02/18,Numero right,Incubation,0
17/02/18,Numero right right,Incubation,0
17/02/18,Numero top,Incubation,0
17/02/18,Numero top right,Incubation,0
17/02/18,Numero uno,Incubation,0
17/02/18,p1,Incubation,0
17/02/18,p11,Incubation,0
17/02/18,p12,Incubation,0
17/02/18,p13,Incubation,0
17/02/18,p14,Incubation,0
17/02/18,p15,Incubation,0
17/02/18,p16,Nest building,0
17/02/18,p2,Incubation,0
17/02/18,p3,Incubation,0
17/02/18,p4,Incubation,0
17/02/18,p5,Incubation,0
17/02/18,p6,Incubation,0
19/02/18,Across 1,Incubation,0
19/02/18,Across 2,Incubation,0
19/02/18,I1,Incubation,0
19/02/18,I11,Incubation,0
19/02/18,I12,Incubation,0
19/02/18,I13,Incubation,0
19/02/18,I2,Incubation,0
19/02/18,I3,Incubation,0
19/02/18,I4,Incubation,0
19/02/18,I5,Incubation,0
19/02/18,I6,Incubation,0
19/02/18,Isolated 1,Incubation,0
19/02/18,Isolated 2,Not detected,0
19/02/18,Numero below,Incubation,0
19/02/18,Numero below below,Incubation,0
19/02/18,Numero below duo,Incubation,0
19/02/18,Numero duo,Incubation,0
19/02/18,Numero far right,Incubation,0
19/02/18,Numero ridge 1,Incubation,0
19/02/18,Numero ridge 2,Incubation,0
19/02/18,Numero ridge 3,Incubation,0
19/02/18,Numero right,Incubation,0
19/02/18,Numero right right,Incubation,0
19/02/18,Numero top,Incubation,0
19/02/18,Numero top right,Incubation,0
19/02/18,Numero uno,Incubation,0
19/02/18,p1,Incubation,0
19/02/18,p11,Incubation,0
19/02/18,p12,Incubation,0
19/02/18,p13,Incubation,0
19/02/18,p14,Incubation,0
19/02/18,p15,Incubation,0
19/02/18,p16,Nest building,0
19/02/18,p2,Incubation,0
19/02/18,p3,Incubation,0
19/02/18,p4,Incubation,0
19/02/18,p5,Incubation,0
19/02/18,p6,Incubation,0
13/03/18,Across 1,Incubation,0
13/03/18,Across 2,Incubation,0
13/03/18,Across 3,Incubation,0
13/03/18,Across 4,Incubation,0
13/03/18,I1,Black chicks,2
13/03/18,I11,Incubation,0
13/03/18,I12,Incubation,0
13/03/18,I13,Incubation,0
13/03/18,I2,Black chicks,2
13/03/18,I3,Black chicks,2
13/03/18,I4,Incubation,0
13/03/18,I5,Incubation,0
13/03/18,I6,Incubation,0
13/03/18,IB1,Incubation,0
